epoch:123, train loss: 0.048, MSE loss: 0.032
epoch:124, train loss: 0.048, MSE loss: 0.032
epoch:125, train loss: 0.048, MSE loss: 0.032
epoch:126, train loss: 0.048, MSE loss: 0.032
epoch:127, train loss: 0.048, MSE loss: 0.032
epoch:128, train loss: 0.048, MSE loss: 0.032
epoch:129, train loss: 0.048, MSE loss: 0.032
epoch:130, train loss: 0.048, MSE loss: 0.032
epoch:131, train loss: 0.048, MSE loss: 0.032
epoch:132, train loss: 0.048, MSE loss: 0.032
epoch:133, train loss: 0.048, MSE loss: 0.032
epoch:134, train loss: 0.048, MSE loss: 0.032
epoch:135, train loss: 0.048, MSE loss: 0.032
epoch:136, train loss: 0.048, MSE loss: 0.032
epoch:137, train loss: 0.048, MSE loss: 0.032
epoch:138, train loss: 0.048, MSE loss: 0.032
epoch:139, train loss: 0.048, MSE loss: 0.032
epoch:140, train loss: 0.048, MSE loss: 0.032
epoch:141, train loss: 0.048, MSE loss: 0.032
epoch:142, train loss: 0.048, MSE loss: 0.032
epoch:143, train loss: 0.048, MSE loss: 0.032
epoch:144, train loss: 0.048, MSE loss: 0.032
epoch:145, train loss: 0.048, MSE loss: 0.032
epoch:146, train loss: 0.048, MSE loss: 0.032
epoch:147, train loss: 0.048, MSE loss: 0.032
epoch:148, train loss: 0.048, MSE loss: 0.032
epoch:149, train loss: 0.048, MSE loss: 0.032
epoch:150, train loss: 0.048, MSE loss: 0.032
epoch:151, train loss: 0.048, MSE loss: 0.032
epoch:152, train loss: 0.048, MSE loss: 0.032
epoch:153, train loss: 0.048, MSE loss: 0.032
epoch:154, train loss: 0.048, MSE loss: 0.032
epoch:155, train loss: 0.048, MSE loss: 0.032
epoch:156, train loss: 0.048, MSE loss: 0.032
epoch:157, train loss: 0.048, MSE loss: 0.032
epoch:158, train loss: 0.048, MSE loss: 0.032
epoch:159, train loss: 0.048, MSE loss: 0.032
epoch:160, train loss: 0.048, MSE loss: 0.032
epoch:161, train loss: 0.048, MSE loss: 0.032
epoch:162, train loss: 0.048, MSE loss: 0.032
epoch:163, train loss: 0.048, MSE loss: 0.032
epoch:164, train loss: 0.048, MSE loss: 0.032
epoch:165, train loss: 0.048, MSE loss: 0.032
epoch:166, train loss: 0.048, MSE loss: 0.032
epoch:167, train loss: 0.048, MSE loss: 0.032
epoch:168, train loss: 0.048, MSE loss: 0.032
epoch:169, train loss: 0.048, MSE loss: 0.032
epoch:170, train loss: 0.048, MSE loss: 0.032
epoch:171, train loss: 0.048, MSE loss: 0.032
epoch:172, train loss: 0.048, MSE loss: 0.031
epoch:173, train loss: 0.048, MSE loss: 0.031
epoch:174, train loss: 0.048, MSE loss: 0.031
epoch:175, train loss: 0.048, MSE loss: 0.031
epoch:176, train loss: 0.048, MSE loss: 0.031
epoch:177, train loss: 0.048, MSE loss: 0.031
epoch:178, train loss: 0.048, MSE loss: 0.031
epoch:179, train loss: 0.048, MSE loss: 0.031
epoch:180, train loss: 0.048, MSE loss: 0.031
epoch:181, train loss: 0.048, MSE loss: 0.031
