Wall time,Step,Value
1525527119.8288252,53302,1530.9874267578125
1525527122.315584,53428,1543.8265380859375
1525527127.9127579,53701,1541.378173828125
1525527130.2277112,53799,1588.6566162109375
1525527130.6597428,53810,1566.357666015625
1525527134.0717485,53987,1526.183837890625
1525527140.9995935,54321,1653.9212646484375
1525527143.5349493,54450,1696.1624755859375
1525527153.1089025,54921,1663.1156005859375
1525527153.4243648,54938,1583.222900390625
1525527155.9619105,55034,1710.5146484375
1525527176.9926288,56073,1693.3743896484375
1525527179.022809,56173,1666.800048828125
1525527189.8160374,56675,1763.122314453125
1525527190.1735346,56695,1626.52001953125
1525527192.5257993,56801,1587.85986328125
1525527193.9318233,56878,1640.977294921875
1525527201.6559277,57254,1620.30908203125
1525527212.3245344,57749,1583.1036376953125
1525527216.0653431,57934,1583.197021484375
1525527222.8238478,58273,1564.0557861328125
1525527236.4072802,58906,1647.167236328125
1525527239.3564818,59057,1559.7650146484375
1525527249.0638008,59532,1599.1865234375
1525527250.6394083,59607,1651.0906982421875
1525527255.2984855,59841,1604.8099365234375
1525527256.7087297,59906,1636.8487548828125
1525527269.819118,60520,1596.1783447265625
1525527270.3968832,60552,1608.8104248046875
1525527297.5790992,61851,1629.9039306640625
1525527300.1357956,61979,1624.3575439453125
1525527306.1640093,62275,1609.466552734375
1525527306.964427,62307,1580.5328369140625
1525527312.8770854,62576,1558.7806396484375
1525527316.0438716,62726,1610.2353515625
1525527322.6089098,63053,1668.79296875
1525527326.0868347,63221,1568.2686767578125
1525527328.040059,63318,1529.8916015625
1525527332.1784577,63525,1727.4697265625
1525527341.4845743,63959,1664.6705322265625
1525527351.432409,64451,1585.933837890625
1525527355.7836852,64665,1635.4622802734375
1525527357.1333642,64728,1641.660400390625
1525527361.2150524,64929,1669.348876953125
1525527361.333493,64936,1613.95361328125
1525527365.8120944,65126,1600.6763916015625
1525527366.1507714,65145,1603.0506591796875
1525527370.0298436,65335,1518.1021728515625
1525527376.152765,65637,1618.46044921875
1525527376.793545,65672,1601.8984375
1525527393.461277,66458,1648.166748046875
1525527395.059366,66534,1639.068115234375
1525527396.5623243,66605,1664.258544921875
1525527401.2410853,66838,1574.9888916015625
1525527403.3943238,66945,1600.747802734375
1525527410.234358,67285,1587.85009765625
1525527417.0423903,67588,1579.32080078125
1525527420.9967165,67780,1591.425537109375
1525527425.3361843,67996,1656.615478515625
1525527428.7959137,68164,1527.97265625
1525527434.3979053,68437,1640.5430908203125
1525527434.6452837,68451,1604.5960693359375
1525527446.6744492,69012,1659.9656982421875
1525527446.693363,69013,1670.135986328125
1525527448.578851,69106,1605.6561279296875
1525527459.2585871,69639,1638.865966796875
1525527460.8485215,69715,1669.442626953125
1525527470.9427814,70187,1633.100830078125
1525527471.9332273,70229,1675.91552734375
1525527481.8354657,70713,1529.62744140625
1525527482.985437,70777,1632.77734375
1525527488.5557353,71046,1603.42333984375
1525527492.3625872,71232,1597.7095947265625
1525527494.9788766,71330,1561.0125732421875
1525527501.018758,71625,1590.75341796875
1525527505.8732672,71870,1634.572021484375
1525527507.8652017,71968,1709.565673828125
1525527513.2683256,72231,1608.6766357421875
1525527513.4839654,72243,1607.1923828125
1525527517.0400367,72416,1607.367431640625
1525527532.815632,73167,1750.62841796875
1525527532.926223,73173,1685.49267578125
1525527548.5690763,73905,1521.821044921875
1525527551.7306294,74068,1660.338134765625
1525527554.194138,74193,1628.0823974609375
1525527554.871381,74218,1586.92333984375
1525527567.134535,74823,1674.9276123046875
1525527568.9765713,74913,1659.768798828125
1525527572.3011088,75047,1661.4617919921875
1525527589.4693341,75894,1654.828369140625
1525527595.3331456,76180,1687.6749267578125
1525527599.4658058,76347,1542.9666748046875
1525527601.609741,76453,1591.274658203125
1525527603.7399678,76559,1604.39013671875
1525527607.35778,76735,1613.79541015625
1525527611.7593648,76956,1564.093017578125
1525527615.084408,77116,1566.7957763671875
1525527621.1056447,77411,1527.86083984375
1525527628.1300144,77726,1566.2236328125
1525527632.235823,77930,1665.701416015625
1525527635.76366,78103,1653.8800048828125
1525527636.6747258,78154,1593.796875
1525527648.1262178,78719,1646.873046875
1525527651.5517771,78861,1590.4193115234375
1525527653.828636,78972,1619.330078125
1525527657.4157906,79144,1577.80712890625
1525527659.2218006,79231,1640.936279296875
1525527662.9109325,79409,1628.6351318359375
1525527673.659084,79940,1632.372314453125
1525527675.6755579,80003,1532.7794189453125
1525527678.4727173,80144,1582.0433349609375
1525527681.475542,80298,1654.3839111328125
1525527683.2163215,80382,1561.109619140625
1525527691.4829168,80787,1620.655029296875
1525527692.4510958,80828,1667.1558837890625
1525527693.727909,80899,1646.7337646484375
1525527703.9314291,81362,1569.42333984375
1525527705.9471846,81461,1615.25146484375
1525527715.1694376,81908,1578.4044189453125
1525527730.4079094,82630,1601.413818359375
1525527735.0604787,82862,1604.373291015625
1525527738.0418806,83001,1607.333740234375
1525527748.9589312,83539,1605.2486572265625
1525527749.7299511,83581,1592.040283203125
1525527749.8722258,83589,1592.88134765625
1525527749.9829838,83595,1677.2943115234375
1525527750.9315937,83635,1603.3228759765625
1525527752.5756764,83713,1621.931884765625
1525527754.512181,83784,1653.120361328125
1525527754.7324464,83796,1633.6268310546875
1525527755.3410864,83817,1617.2042236328125
1525527760.1322803,84060,1596.03466796875
1525527801.1129649,86052,1677.199462890625
1525527802.8430057,86138,1683.9833984375
1525527816.6671793,86783,1643.6807861328125
1525527816.818004,86791,1629.08740234375
1525527824.7724562,87179,1633.5687255859375
1525527834.557343,87622,1615.66064453125
1525527840.6877508,87928,1615.024169921875
1525527841.1989954,87956,1675.107177734375
1525527859.2569022,88817,1581.030517578125
1525527865.3239884,89115,1594.6199951171875
1525527867.1396995,89203,1604.028076171875
1525527870.7450614,89393,1655.03564453125
1525527872.6597974,89487,1590.5452880859375
1525527884.5522203,90035,1610.51025390625
1525527893.0237317,90450,1705.6156005859375
1525527893.6248066,90483,1648.9906005859375
1525527914.782956,91483,1708.595947265625
1525527916.8550832,91586,1546.3770751953125
1525527921.0134397,91791,1619.50830078125
1525527952.0789623,93276,1704.815185546875
1525527956.883506,93502,1675.134033203125
1525527958.2279334,93576,1537.4503173828125
1525527959.7534966,93647,1637.593994140625
1525527966.309255,93931,1677.3868408203125
1525527967.009414,93969,1563.3013916015625
1525527968.3152692,94028,1729.946533203125
1525527975.3556752,94382,1641.7154541015625
1525527984.8873677,94846,1612.3653564453125
1525527986.986513,94950,1599.8681640625
1525528004.0650895,95760,1627.290283203125
1525528024.0426528,96709,1690.8646240234375
1525528028.5146492,96929,1598.8477783203125
1525528028.5675209,96932,1500.08349609375
1525528035.3202505,97266,1628.6925048828125
1525528038.779966,97432,1673.1810302734375
1525528039.0215373,97445,1592.165771484375
1525528039.1307907,97451,1644.233642578125
1525528041.966114,97556,1622.59033203125
1525528043.3604178,97620,1565.916259765625
1525528077.8463037,99291,1649.5943603515625
1525528078.0080779,99300,1653.61279296875
1525528087.540601,99771,1678.0068359375
1525528088.9554048,99837,1544.7637939453125
1525528089.1181931,99846,1618.1678466796875
1525528090.5782166,99914,1590.3907470703125
1525528112.5540242,100967,1575.0361328125
1525528121.1276577,101349,1671.38330078125
1525528121.3493178,101361,1561.640380859375
1525528121.8395863,101388,1632.02783203125
1525528123.0804567,101444,1613.85546875
1525528124.9197798,101533,1552.3936767578125
1525528131.4722764,101858,1618.82275390625
1525528132.6286802,101910,1675.38330078125
1525528137.2570875,102142,1750.6328125
1525528138.7011554,102210,1711.1441650390625
1525528140.3377278,102300,1594.5172119140625
1525528143.9341657,102473,1629.1287841796875
1525528146.9307592,102584,1643.0802001953125
1525528148.5932667,102663,1679.041748046875
1525528155.1555967,102990,1658.9613037109375
1525528167.8184638,103605,1636.3902587890625
1525528168.9597654,103668,1663.45361328125
1525528170.0086188,103714,1576.0438232421875
1525528175.268525,103939,1693.1529541015625
1525528181.1801808,104230,1681.8226318359375
1525528182.150244,104285,1616.5240478515625
1525528194.5010462,104900,1649.6019287109375
1525528196.183353,104981,1544.46484375
1525528231.9435225,106663,1560.2156982421875
1525528235.8452978,106853,1632.9730224609375
1525528244.1412652,107263,1696.648193359375
1525528248.7038202,107492,1520.9722900390625
1525528261.3805816,108077,1664.2451171875
1525528283.4813948,109122,1691.7620849609375
1525528287.217559,109303,1621.554931640625
1525528309.5737836,110370,1653.740234375
1525528321.3610291,110947,1558.638916015625
1525528330.8042192,111379,1561.23828125
1525528341.0202343,111882,1645.157470703125
1525528342.4799726,111951,1601.26025390625
1525528344.2754774,112037,1557.1495361328125
1525528350.956173,112366,1572.8564453125
1525528352.3786292,112430,1647.72900390625
1525528356.0463343,112578,1572.4078369140625
1525528357.4232416,112640,1617.4580078125
1525528361.5994325,112843,1591.931396484375
1525528384.9174275,113943,1695.3238525390625
1525528387.345814,114065,1693.5318603515625
1525528390.9138937,114237,1599.8306884765625
1525528399.6327326,114666,1683.076904296875
1525528400.8689997,114722,1626.8984375
1525528403.3072925,114844,1620.8697509765625
1525528408.1654828,115040,1707.6318359375
1525528430.152114,116109,1606.6539306640625
1525528432.1077287,116204,1563.41064453125
1525528432.2878115,116214,1702.054443359375
1525528438.756106,116494,1524.546630859375
1525528448.6543486,116974,1575.68505859375
1525528451.8532982,117125,1666.7109375
1525528459.2901165,117498,1597.425048828125
1525528461.0990286,117539,1701.6632080078125
1525528461.3658972,117553,1603.9168701171875
1525528464.7675304,117710,1679.087890625
1525528471.9220068,118063,1587.0810546875
1525528475.5054367,118235,1640.297119140625
1525528475.743424,118248,1664.7249755859375
