Wall time,Step,Value
1525526011.8338268,25,0.18921971321105957
1525526012.3959029,57,0.132642462849617
1525526012.4487453,60,0.1352505087852478
1525526023.0267625,589,0.07430317997932434
1525526029.56763,905,0.06533501297235489
1525526033.115669,1091,0.06862708181142807
1525526035.7253358,1211,0.06652291119098663
1525526047.6146135,1783,0.06342488527297974
1525526052.6814594,2026,0.05732382461428642
1525526054.479255,2112,0.05516138672828674
1525526058.560482,2313,0.058477047830820084
1525526064.455832,2595,0.05471351370215416
1525526067.55162,2740,0.04720905050635338
1525526070.0814025,2866,0.044812943786382675
1525526076.3789499,3173,0.051345448940992355
1525526078.4707458,3275,0.051040321588516235
1525526085.6664634,3620,0.05693880096077919
1525526088.133466,3744,0.04761529341340065
1525526088.152407,3745,0.05265132710337639
1525526088.7707028,3753,0.04984074458479881
1525526089.066416,3769,0.05145421624183655
1525526090.733704,3848,0.047047849744558334
1525526093.704073,4000,0.04818190261721611
1525526094.3203573,4021,0.05082261189818382
1525526115.7635639,5054,0.04730899631977081
1525526126.8390887,5597,0.046254340559244156
1525526130.496517,5774,0.04610752686858177
1525526142.5115314,6334,0.04196237400174141
1525526153.5038874,6876,0.03425530344247818
1525526159.7821062,7184,0.04476534202694893
1525526160.8593428,7230,0.04196787253022194
1525526163.2781951,7350,0.039584819227457047
1525526171.3757174,7720,0.041209761053323746
1525526173.4539678,7821,0.04105769470334053
1525526181.596398,8219,0.0434228777885437
1525526184.9635825,8391,0.043130677193403244
1525526196.339469,8911,0.04157262668013573
1525526209.251829,9543,0.04397497698664665
1525526211.136867,9634,0.037772078067064285
1525526211.3851554,9648,0.03881032392382622
1525526215.3359551,9839,0.04345287010073662
1525526217.6049635,9952,0.04206836223602295
1525526226.003865,10341,0.04431216046214104
1525526226.7093585,10380,0.04108796268701553
1525526230.4668407,10563,0.03694653511047363
1525526231.0156686,10594,0.04144744202494621
1525526232.8419113,10683,0.03894217684864998
1525526235.565567,10808,0.0394473522901535
1525526236.152883,10841,0.0408112071454525
1525526238.0581129,10935,0.03952924907207489
1525526238.920542,10984,0.04152830317616463
1525526239.5013335,11003,0.04135904833674431
1525526243.7584171,11217,0.038262661546468735
1525526244.8310525,11251,0.044544070959091187
1525526254.5770187,11722,0.03715115413069725
